;Scopy version,f4beeb1
;Exported on,Friday March 07/03/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-8,0.0330382
1,-7.999,0.0330382
2,-7.998,0.0330382
3,-7.997,0.0330382
4,-7.996,0.0330382
5,-7.995,0.0330382
6,-7.994,0.0330382
7,-7.993,0.0330382
8,-7.992,0.0330382
9,-7.991,0.0330382
10,-7.99,0.0330382
11,-7.989,0.0330382
12,-7.988,0.0330382
13,-7.987,0.0330382
14,-7.986,0.0330382
15,-7.985,0.0330382
16,-7.984,0.0330382
17,-7.983,0.0330382
18,-7.982,0.0330382
19,-7.981,0.0330382
20,-7.98,0.0330382
21,-7.979,0.0330382
22,-7.978,0.0330382
23,-7.977,0.0330382
24,-7.976,0.0330382
25,-7.975,0.0330382
26,-7.974,0.0330382
27,-7.973,0.0330382
28,-7.972,0.0330382
29,-7.971,0.0330382
30,-7.97,0.0330382
31,-7.969,0.0330382
32,-7.968,0.0330382
33,-7.967,0.0330382
34,-7.966,0.0330382
35,-7.965,0.0330382
36,-7.964,0.0330382
37,-7.963,0.0330382
38,-7.962,0.0330382
39,-7.961,0.0330382
40,-7.96,0.0330382
41,-7.959,0.0330382
42,-7.958,0.0330382
43,-7.957,0.0330382
44,-7.956,0.0330382
45,-7.955,0.0330382
46,-7.954,0.0330382
47,-7.953,0.0330382
48,-7.952,0.0330382
49,-7.951,0.0330382
50,-7.95,0.0330382
51,-7.949,0.0330382
52,-7.948,0.0330382
53,-7.947,0.0330382
54,-7.946,0.0330382
55,-7.945,0.0330382
56,-7.944,0.0330382
57,-7.943,0.0330382
58,-7.942,0.0330382
59,-7.941,0.0330382
60,-7.94,0.0330382
61,-7.939,0.0330382
62,-7.938,0.0330382
63,-7.937,0.0330382
64,-7.936,0.0330382
65,-7.935,0.0330382
66,-7.934,0.0330382
67,-7.933,0.0330382
68,-7.932,0.0330382
69,-7.931,0.0330382
70,-7.93,0.0330382
71,-7.929,0.0330382
72,-7.928,0.0330382
73,-7.927,0.0330382
74,-7.926,0.0330382
75,-7.925,0.0330382
76,-7.924,0.0330382
77,-7.923,0.0330382
78,-7.922,0.0330382
79,-7.921,0.0330382
80,-7.92,0.0330382
81,-7.919,0.0330382
82,-7.918,0.0330382
83,-7.917,0.0330382
84,-7.916,0.0330382
85,-7.915,0.0330382
86,-7.914,0.0330382
87,-7.913,0.0330382
88,-7.912,0.0330382
89,-7.911,0.0330382
90,-7.91,0.0330382
91,-7.909,0.0330382
92,-7.908,0.0330382
93,-7.907,0.0330382
94,-7.906,0.0330382
95,-7.905,0.0330382
96,-7.904,0.0330382
97,-7.903,0.0330382
98,-7.902,0.0330382
99,-7.901,0.0330382
100,-7.9,0.0330382
101,-7.899,0.0330382
102,-7.898,0.0330382
103,-7.897,0.0330382
104,-7.896,0.0330382
105,-7.895,0.0330382
106,-7.894,0.0330382
107,-7.893,0.0330382
108,-7.892,0.0330382
109,-7.891,0.0330382
110,-7.89,0.0330382
111,-7.889,0.0330382
112,-7.888,0.0330382
113,-7.887,0.0330382
114,-7.886,0.0330382
115,-7.885,0.0330382
116,-7.884,0.0330382
117,-7.883,0.0330382
118,-7.882,0.0330382
119,-7.881,0.0330382
120,-7.88,0.0330382
121,-7.879,0.0330382
122,-7.878,0.0330382
123,-7.877,0.0330382
124,-7.876,0.0330382
125,-7.875,0.0330382
126,-7.874,0.0330382
127,-7.873,0.0330382
128,-7.872,0.0295605
129,-7.871,0.012172
130,-7.87,0.0104331
131,-7.869,0.012172
132,-7.868,0.012172
133,-7.867,0.012172
134,-7.866,0.012172
135,-7.865,0.012172
136,-7.864,0.012172
137,-7.863,0.012172
138,-7.862,0.012172
139,-7.861,0.012172
140,-7.86,0.012172
141,-7.859,0.012172
142,-7.858,0.012172
143,-7.857,0.012172
144,-7.856,0.012172
145,-7.855,0.012172
146,-7.854,0.012172
147,-7.853,0.012172
148,-7.852,0.012172
149,-7.851,0.012172
150,-7.85,0.012172
151,-7.849,0.012172
