;Scopy version,f4beeb1
;Exported on,mercredi décembre 11/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
258,-3.742,0.10607
259,-3.741,0.10607
260,-3.74,0.10607
261,-3.739,0.10607
262,-3.738,0.107809
263,-3.737,0.114764
264,-3.736,0.234745
265,-3.735,0.229528
266,-3.734,0.126936
267,-3.733,0.10607
268,-3.732,0.10607
269,-3.731,0.10607
270,-3.73,0.10607
271,-3.729,0.10607
272,-3.728,0.10607
273,-3.727,0.10607
274,-3.726,0.10607
275,-3.725,0.10607
276,-3.724,0.10607
277,-3.723,0.10607
278,-3.722,0.10607
279,-3.721,0.10607
280,-3.72,0.10607
281,-3.719,0.10607
282,-3.718,0.10607
283,-3.717,0.10607
284,-3.716,0.10607
285,-3.715,0.10607
286,-3.714,0.10607
287,-3.713,0.10607
288,-3.712,0.10607
289,-3.711,0.10607
290,-3.71,0.10607
291,-3.709,0.10607
292,-3.708,0.10607
293,-3.707,0.10607
294,-3.706,0.10607
295,-3.705,0.10607
296,-3.704,0.10607
297,-3.703,0.10607
298,-3.702,0.10607
299,-3.701,0.10607
300,-3.7,0.10607
301,-3.699,0.10607
302,-3.698,0.10607
303,-3.697,0.10607
304,-3.696,0.10607
305,-3.695,0.10607
306,-3.694,0.10607
307,-3.693,0.10607
308,-3.692,0.10607
309,-3.691,0.10607
310,-3.69,0.10607
311,-3.689,0.10607
312,-3.688,0.10607
313,-3.687,0.113025
314,-3.686,0.233006
315,-3.685,0.229528
316,-3.684,0.128675
317,-3.683,0.10607
318,-3.682,0.10607
319,-3.681,0.10607
320,-3.68,0.10607
321,-3.679,0.10607
322,-3.678,0.10607
323,-3.677,0.10607
324,-3.676,0.10607
325,-3.675,0.10607
326,-3.674,0.10607
327,-3.673,0.10607
328,-3.672,0.10607
329,-3.671,0.10607
330,-3.67,0.10607
331,-3.669,0.10607
332,-3.668,0.10607
333,-3.667,0.10607
334,-3.666,0.10607
335,-3.665,0.10607
336,-3.664,0.10607
337,-3.663,0.10607
338,-3.662,0.10607
339,-3.661,0.10607
340,-3.66,0.10607
341,-3.659,0.10607
342,-3.658,0.10607
343,-3.657,0.10607
344,-3.656,0.10607
345,-3.655,0.10607
346,-3.654,0.10607
347,-3.653,0.10607
348,-3.652,0.10607
349,-3.651,0.10607
350,-3.65,0.10607
351,-3.649,0.10607
352,-3.648,0.10607
353,-3.647,0.10607
354,-3.646,0.10607
355,-3.645,0.10607
356,-3.644,0.10607
357,-3.643,0.10607
358,-3.642,0.10607
359,-3.641,0.10607
360,-3.64,0.10607
361,-3.639,0.10607
362,-3.638,0.107809
363,-3.637,0.107809
364,-3.636,0.227789
365,-3.635,0.233006
366,-3.634,0.13563
367,-3.633,0.10607
368,-3.632,0.10607
369,-3.631,0.10607
370,-3.63,0.10607
371,-3.629,0.10607
372,-3.628,0.10607
373,-3.627,0.10607
374,-3.626,0.10607
375,-3.625,0.10607
376,-3.624,0.10607
377,-3.623,0.10607
378,-3.622,0.10607
379,-3.621,0.10607
380,-3.62,0.10607
381,-3.619,0.10607
382,-3.618,0.10607
383,-3.617,0.10607
384,-3.616,0.10607
385,-3.615,0.10607
386,-3.614,0.10607
387,-3.613,0.10607
388,-3.612,0.10607
389,-3.611,0.10607
390,-3.61,0.10607
391,-3.609,0.10607
392,-3.608,0.10607
393,-3.607,0.10607
394,-3.606,0.10607
395,-3.605,0.10607
396,-3.604,0.10607
397,-3.603,0.10607
398,-3.602,0.10607
399,-3.601,0.10607
400,-3.6,0.10607
401,-3.599,0.10607
402,-3.598,0.10607
403,-3.597,0.10607
404,-3.596,0.10607
405,-3.595,0.10607
406,-3.594,0.10607
407,-3.593,0.10607
408,-3.592,0.10607
409,-3.591,0.10607
410,-3.59,0.10607
411,-3.589,0.10607
412,-3.588,0.107809
413,-3.587,0.10607
414,-3.586,0.226051
415,-3.585,0.231267
416,-3.584,0.137369
417,-3.583,0.10607
418,-3.582,0.10607
419,-3.581,0.10607
420,-3.58,0.10607
421,-3.579,0.10607
422,-3.578,0.10607
423,-3.577,0.10607
424,-3.576,0.10607
425,-3.575,0.10607
426,-3.574,0.10607
427,-3.573,0.10607
428,-3.572,0.10607
429,-3.571,0.10607
430,-3.57,0.10607
431,-3.569,0.10607
432,-3.568,0.10607
433,-3.567,0.10607
434,-3.566,0.10607
435,-3.565,0.10607
436,-3.564,0.10607
437,-3.563,0.10607
438,-3.562,0.10607
439,-3.561,0.10607
440,-3.56,0.10607
441,-3.559,0.10607
442,-3.558,0.10607
443,-3.557,0.10607
444,-3.556,0.10607
445,-3.555,0.10607
446,-3.554,0.10607
447,-3.553,0.10607
448,-3.552,0.10607
449,-3.551,0.10607
450,-3.55,0.10607
451,-3.549,0.10607
452,-3.548,0.10607
453,-3.547,0.10607
454,-3.546,0.10607
455,-3.545,0.10607
456,-3.544,0.10607
457,-3.543,0.10607
458,-3.542,0.10607
459,-3.541,0.10607
460,-3.54,0.10607
461,-3.539,0.10607
462,-3.538,0.107809
463,-3.537,0.104331
464,-3.536,0.222573
465,-3.535,0.234745
466,-3.534,0.142586
467,-3.533,0.10607
468,-3.532,0.10607
469,-3.531,0.10607
470,-3.53,0.10607
471,-3.529,0.10607
472,-3.528,0.10607
473,-3.527,0.10607
474,-3.526,0.10607
475,-3.525,0.10607
476,-3.524,0.10607
477,-3.523,0.10607
478,-3.522,0.10607
479,-3.521,0.10607
480,-3.52,0.10607
481,-3.519,0.10607
482,-3.518,0.10607
483,-3.517,0.10607
484,-3.516,0.10607
485,-3.515,0.10607
486,-3.514,0.10607
487,-3.513,0.10607
488,-3.512,0.10607
489,-3.511,0.10607
490,-3.51,0.10607
491,-3.509,0.10607
492,-3.508,0.10607
493,-3.507,0.10607
494,-3.506,0.10607
495,-3.505,0.10607
496,-3.504,0.10607
497,-3.503,0.10607
498,-3.502,0.10607
499,-3.501,0.10607
500,-3.5,0.10607
501,-3.499,0.10607
502,-3.498,0.10607
503,-3.497,0.10607
504,-3.496,0.10607
505,-3.495,0.10607
506,-3.494,0.10607
507,-3.493,0.10607
508,-3.492,0.10607
509,-3.491,0.10607
510,-3.49,0.10607
511,-3.489,0.10607
512,-3.488,0.107809
513,-3.487,0.102592
514,-3.486,0.217356
515,-3.485,0.233006
516,-3.484,0.147802
517,-3.483,0.10607
518,-3.482,0.10607
519,-3.481,0.10607
520,-3.48,0.10607
521,-3.479,0.10607
522,-3.478,0.10607
523,-3.477,0.10607
524,-3.476,0.10607
525,-3.475,0.10607
526,-3.474,0.10607
527,-3.473,0.10607
528,-3.472,0.10607
529,-3.471,0.10607
530,-3.47,0.10607
531,-3.469,0.10607
532,-3.468,0.10607
533,-3.467,0.10607
534,-3.466,0.10607
535,-3.465,0.10607
536,-3.464,0.10607
537,-3.463,0.10607
538,-3.462,0.10607
539,-3.461,0.10607
540,-3.46,0.10607
541,-3.459,0.10607
542,-3.458,0.10607
543,-3.457,0.10607
544,-3.456,0.10607
545,-3.455,0.10607
546,-3.454,0.10607
547,-3.453,0.10607
548,-3.452,0.10607
549,-3.451,0.10607
550,-3.45,0.10607
551,-3.449,0.10607
552,-3.448,0.10607
553,-3.447,0.10607
554,-3.446,0.10607
555,-3.445,0.10607
556,-3.444,0.10607
557,-3.443,0.10607
558,-3.442,0.10607
559,-3.441,0.10607
560,-3.44,0.10607
561,-3.439,0.10607
562,-3.438,0.10607
563,-3.437,0.102592
564,-3.436,0.213879
565,-3.435,0.234745
566,-3.434,0.15128
567,-3.433,0.10607
568,-3.432,0.10607
569,-3.431,0.10607
570,-3.43,0.10607
571,-3.429,0.10607
572,-3.428,0.10607
573,-3.427,0.10607
574,-3.426,0.10607
575,-3.425,0.10607
576,-3.424,0.10607
577,-3.423,0.10607
578,-3.422,0.10607
579,-3.421,0.10607
580,-3.42,0.10607
581,-3.419,0.10607
582,-3.418,0.10607
583,-3.417,0.10607
