;Scopy version,f4beeb1
;Exported on,Sunday December 22/12/2024
;Device,M2K
;Nr of samples,106496
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
57941,4.9749,0.218598
57942,4.975,0.218598
57943,4.9751,0.218598
57944,4.9752,0.218598
57945,4.9753,0.218598
57946,4.9754,0.218598
57947,4.9755,0.218598
57948,4.9756,0.218598
57949,4.9757,0.218598
57950,4.9758,0.218598
57951,4.9759,0.218598
57952,4.976,0.218598
57953,4.9761,0.218598
57954,4.9762,0.218598
57955,4.9763,0.218598
57956,4.9764,0.218598
57957,4.9765,0.218598
57958,4.9766,0.218598
57959,4.9767,0.218598
57960,4.9768,0.218598
57961,4.9769,0.218598
57962,4.977,0.218598
57963,4.9771,0.218598
57964,4.9772,0.218598
57965,4.9773,0.218598
57966,4.9774,0.218598
57967,4.9775,0.218598
57968,4.9776,0.218598
57969,4.9777,0.218598
57970,4.9778,0.218598
57971,4.9779,0.218598
57972,4.978,0.218598
57973,4.9781,0.218598
57974,4.9782,0.218598
57975,4.9783,0.218598
57976,4.9784,0.218598
57977,4.9785,0.218598
57978,4.9786,0.218598
57979,4.9787,0.218598
57980,4.9788,0.218598
57981,4.9789,0.218598
57982,4.979,0.218598
57983,4.9791,0.218598
57984,4.9792,0.218598
57985,4.9793,0.218598
57986,4.9794,0.218598
57987,4.9795,0.218598
57988,4.9796,0.218598
57989,4.9797,0.218598
57990,4.9798,0.218598
57991,4.9799,0.218598
57992,4.98,0.218598
57993,4.9801,0.218598
57994,4.9802,0.218598
57995,4.9803,0.218598
57996,4.9804,0.218598
57997,4.9805,0.218598
57998,4.9806,0.218598
57999,4.9807,0.218598
58000,4.9808,0.218598
58001,4.9809,0.218598
58002,4.981,0.218598
58003,4.9811,0.218598
58004,4.9812,0.218598
58005,4.9813,0.218598
58006,4.9814,0.218598
58007,4.9815,0.216942
58008,4.9816,0.216942
58009,4.9817,0.216942
58010,4.9818,0.216942
58011,4.9819,0.216942
58012,4.982,0.218598
58013,4.9821,0.218598
58014,4.9822,0.218598
58015,4.9823,0.218598
58016,4.9824,0.218598
58017,4.9825,0.218598
58018,4.9826,0.218598
58019,4.9827,0.218598
58020,4.9828,0.218598
58021,4.9829,0.218598
58022,4.983,0.218598
58023,4.9831,0.218598
58024,4.9832,0.218598
58025,4.9833,0.218598
58026,4.9834,0.218598
58027,4.9835,0.218598
58028,4.9836,0.218598
58029,4.9837,0.218598
58030,4.9838,0.218598
58031,4.9839,0.218598
58032,4.984,0.218598
