;Scopy version,f4beeb1
;Exported on,mercredi décembre 11/12/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
240,-3.76,0.0712929
241,-3.759,0.0712929
242,-3.758,0.0712929
243,-3.757,0.0712929
244,-3.756,0.0712929
245,-3.755,0.0712929
246,-3.754,0.0712929
247,-3.753,0.0712929
248,-3.752,0.0712929
249,-3.751,0.0712929
250,-3.75,0.0712929
251,-3.749,0.0712929
252,-3.748,0.0712929
253,-3.747,0.0712929
254,-3.746,0.0712929
255,-3.745,0.0712929
256,-3.744,0.0712929
257,-3.743,0.0712929
258,-3.742,0.0712929
259,-3.741,0.0712929
260,-3.74,0.0712929
261,-3.739,0.0712929
262,-3.738,0.0712929
263,-3.737,0.0712929
264,-3.736,0.0712929
265,-3.735,0.0712929
266,-3.734,0.0712929
267,-3.733,0.0712929
268,-3.732,0.0712929
269,-3.731,0.0712929
270,-3.73,0.0712929
271,-3.729,0.0712929
272,-3.728,0.0712929
273,-3.727,0.0712929
274,-3.726,0.0712929
275,-3.725,0.0712929
276,-3.724,0.0712929
277,-3.723,0.0712929
278,-3.722,0.0712929
279,-3.721,0.0712929
280,-3.72,0.0712929
281,-3.719,0.0712929
282,-3.718,0.0712929
283,-3.717,0.0712929
284,-3.716,0.0712929
285,-3.715,0.0712929
286,-3.714,0.0712929
287,-3.713,0.0712929
288,-3.712,0.0712929
289,-3.711,0.0712929
290,-3.71,0.0712929
291,-3.709,0.0712929
292,-3.708,0.0712929
293,-3.707,0.0712929
294,-3.706,0.0712929
295,-3.705,0.0712929
296,-3.704,0.0712929
297,-3.703,0.0712929
298,-3.702,0.0712929
299,-3.701,0.0712929
300,-3.7,0.0712929
301,-3.699,0.0712929
302,-3.698,0.140847
303,-3.697,0.159974
304,-3.696,0.147802
305,-3.695,0.102592
306,-3.694,0.0712929
307,-3.693,0.0712929
308,-3.692,0.0712929
309,-3.691,0.0712929
310,-3.69,0.0712929
311,-3.689,0.0712929
312,-3.688,0.0712929
313,-3.687,0.0712929
314,-3.686,0.0712929
315,-3.685,0.0712929
316,-3.684,0.0712929
317,-3.683,0.0712929
318,-3.682,0.0712929
319,-3.681,0.0712929
320,-3.68,0.0712929
321,-3.679,0.0712929
322,-3.678,0.0712929
323,-3.677,0.0712929
324,-3.676,0.0712929
325,-3.675,0.0712929
326,-3.674,0.0712929
327,-3.673,0.0712929
328,-3.672,0.0712929
329,-3.671,0.0712929
330,-3.67,0.0712929
331,-3.669,0.0712929
332,-3.668,0.0712929
333,-3.667,0.0712929
334,-3.666,0.0712929
335,-3.665,0.0712929
336,-3.664,0.0712929
337,-3.663,0.0712929
