;Scopy version,f4beeb1
;Exported on,Sunday December 22/12/2024
;Device,M2K
;Nr of samples,122880
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.00782681
1,-0.8191,0.00782681
2,-0.819,0.00782681
3,-0.8189,0.00782681
4,-0.8188,0.00782681
5,-0.8187,0.00782681
6,-0.8186,0.00782681
7,-0.8185,0.00782681
8,-0.8184,0.00782681
9,-0.8183,0.00782681
10,-0.8182,0.00782681
11,-0.8181,0.00782681
12,-0.818,0.00782681
13,-0.8179,0.00782681
14,-0.8178,0.00782681
15,-0.8177,0.00782681
16,-0.8176,0.00782681
17,-0.8175,0.00782681
18,-0.8174,0.00782681
19,-0.8173,0.00782681
20,-0.8172,0.00782681
21,-0.8171,0.00782681
22,-0.817,0.00782681
23,-0.8169,0.00782681
24,-0.8168,0.00782681
25,-0.8167,0.00782681
26,-0.8166,0.00782681
27,-0.8165,0.00782681
28,-0.8164,0.00782681
29,-0.8163,0.00782681
30,-0.8162,0.00782681
31,-0.8161,0.00782681
32,-0.816,0.00782681
33,-0.8159,0.00782681
34,-0.8158,0.00782681
35,-0.8157,0.00782681
36,-0.8156,0.00782681
37,-0.8155,0.00782681
38,-0.8154,0.00782681
39,-0.8153,0.00782681
40,-0.8152,0.00782681
41,-0.8151,0.00782681
42,-0.815,0.00782681
43,-0.8149,0.00782681
44,-0.8148,0.00782681
45,-0.8147,0.00782681
46,-0.8146,0.00782681
47,-0.8145,0.00782681
48,-0.8144,0.00782681
49,-0.8143,0.00782681
50,-0.8142,0.00782681
51,-0.8141,0.00782681
52,-0.814,0.00782681
53,-0.8139,0.00782681
54,-0.8138,0.00782681
55,-0.8137,0.00782681
56,-0.8136,0.00782681
57,-0.8135,0.00782681
58,-0.8134,0.00782681
59,-0.8133,0.00782681
60,-0.8132,0.00782681
61,-0.8131,0.00782681
62,-0.813,0.00782681
63,-0.8129,0.00782681
64,-0.8128,0.00782681
65,-0.8127,0.00782681
66,-0.8126,0.00782681
67,-0.8125,0.00782681
68,-0.8124,0.00782681
69,-0.8123,0.00782681
70,-0.8122,0.00782681
71,-0.8121,0.00782681
72,-0.812,0.00782681
73,-0.8119,0.00782681
74,-0.8118,0.00782681
75,-0.8117,0.00782681
76,-0.8116,0.00782681
77,-0.8115,0.00782681
78,-0.8114,0.00782681
79,-0.8113,0.00782681
80,-0.8112,0.00782681
81,-0.8111,0.00782681
82,-0.811,0.00782681
83,-0.8109,0.00782681
84,-0.8108,0.00782681
85,-0.8107,0.00782681
86,-0.8106,0.00782681
87,-0.8105,0.00782681
88,-0.8104,0.00782681
89,-0.8103,0.00782681
90,-0.8102,0.00782681
91,-0.8101,0.00782681
92,-0.81,0.00782681
93,-0.8099,0.00782681
94,-0.8098,0.00782681
95,-0.8097,0.00782681
96,-0.8096,0.00782681
97,-0.8095,0.00782681
98,-0.8094,0.00782681
99,-0.8093,0.00782681
100,-0.8092,0.00782681
101,-0.8091,0.00782681
102,-0.809,0.00782681
103,-0.8089,0.00782681
104,-0.8088,0.00782681
105,-0.8087,0.00782681
106,-0.8086,0.00782681
107,-0.8085,0.00782681
108,-0.8084,0.00782681
109,-0.8083,0.00782681
110,-0.8082,0.00782681
111,-0.8081,0.00782681
112,-0.808,0.00782681
113,-0.8079,0.00782681
114,-0.8078,0.00782681
115,-0.8077,0.00782681
116,-0.8076,0.00782681
117,-0.8075,0.00782681
118,-0.8074,0.00782681
119,-0.8073,0.00782681
120,-0.8072,0.00782681
121,-0.8071,0.00782681
122,-0.807,0.00782681
123,-0.8069,0.00782681
124,-0.8068,0.00782681
125,-0.8067,0.00782681
126,-0.8066,0.00782681
127,-0.8065,0.00782681
128,-0.8064,0.00782681
129,-0.8063,0.00782681
130,-0.8062,0.00782681
131,-0.8061,0.00782681
132,-0.806,0.00782681
133,-0.8059,0.00782681
134,-0.8058,0.00782681
135,-0.8057,0.00782681
136,-0.8056,0.00782681
