;Scopy version,f4beeb1
;Exported on,Friday March 07/03/2025
;Device,M2K
;Nr of samples,122880
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.0453318
1,-0.8191,0.0453318
2,-0.819,0.0453318
3,-0.8189,0.0453318
4,-0.8188,0.0453318
5,-0.8187,0.0453318
6,-0.8186,0.0453318
7,-0.8185,0.0453318
8,-0.8184,0.0453318
9,-0.8183,0.0453318
10,-0.8182,0.0453318
11,-0.8181,0.0453318
12,-0.818,0.0453318
13,-0.8179,0.0453318
14,-0.8178,0.0453318
15,-0.8177,0.0453318
16,-0.8176,0.0453318
17,-0.8175,0.0453318
18,-0.8174,0.0453318
19,-0.8173,0.0453318
20,-0.8172,0.0453318
21,-0.8171,0.0453318
22,-0.817,0.0453318
23,-0.8169,0.0453318
24,-0.8168,0.0453318
25,-0.8167,0.0453318
26,-0.8166,0.0453318
27,-0.8165,0.0453318
28,-0.8164,0.0453318
29,-0.8163,0.0453318
30,-0.8162,0.0453318
31,-0.8161,0.0453318
32,-0.816,0.0453318
33,-0.8159,0.0453318
34,-0.8158,0.0453318
35,-0.8157,0.0453318
36,-0.8156,0.0453318
37,-0.8155,0.0453318
38,-0.8154,0.0453318
39,-0.8153,0.0453318
40,-0.8152,0.0453318
41,-0.8151,0.0453318
42,-0.815,0.0453318
43,-0.8149,0.0453318
44,-0.8148,0.0453318
45,-0.8147,0.0453318
46,-0.8146,0.0453318
47,-0.8145,0.0453318
48,-0.8144,0.0453318
49,-0.8143,0.0453318
50,-0.8142,0.0453318
51,-0.8141,0.0453318
52,-0.814,0.0453318
53,-0.8139,0.0453318
54,-0.8138,0.0453318
55,-0.8137,0.0453318
56,-0.8136,0.0453318
57,-0.8135,0.0453318
58,-0.8134,0.0453318
59,-0.8133,0.0453318
60,-0.8132,0.0453318
61,-0.8131,0.0453318
62,-0.813,0.0453318
63,-0.8129,0.0453318
64,-0.8128,0.0453318
65,-0.8127,0.0453318
66,-0.8126,0.0453318
67,-0.8125,0.0453318
68,-0.8124,0.0453318
69,-0.8123,0.0453318
70,-0.8122,0.0453318
71,-0.8121,0.0453318
72,-0.812,0.0453318
73,-0.8119,0.0453318
74,-0.8118,0.0453318
75,-0.8117,0.0453318
76,-0.8116,0.0453318
77,-0.8115,0.0453318
78,-0.8114,0.0469878
79,-0.8113,0.0469878
80,-0.8112,0.0502999
81,-0.8111,0.0552681
82,-0.811,0.0585802
83,-0.8109,0.0602362
84,-0.8108,0.0635483
85,-0.8107,0.0635483
86,-0.8106,0.0635483
87,-0.8105,0.0635483
88,-0.8104,0.0668604
